22.320997588,87.311228603,Kharagpur,#FFFF00
22.320997417,87.311228761,Kharagpur,#FFFF00
22.320997144,87.311229007,Kharagpur,#FFFF00
22.320996974,87.311229175,Kharagpur,#FFFF00
22.320996841,87.311229354,Kharagpur,#FFFF00
22.320996695,87.311229604,Kharagpur,#FFFF00
22.320996629,87.311229924,Kharagpur,#FFFF00
22.320996918,87.311230345,Kharagpur,#FFFF00
22.320997358,87.311230797,Kharagpur,#FFFF00
22.320997908,87.311231253,Kharagpur,#FFFF00
22.320998342,87.311231323,Kharagpur,#FFFF00
22.320998956,87.311231902,Kharagpur,#FFFF00
22.320999399,87.311232008,Kharagpur,#FFFF00
22.320999972,87.311232255,Kharagpur,#FFFF00
22.321001025,87.311232129,Kharagpur,#FFFF00
22.321001835,87.311231662,Kharagpur,#FFFF00
22.321002627,87.311230969,Kharagpur,#FFFF00
22.321003271,87.311230422,Kharagpur,#FFFF00
22.321003846,87.311229513,Kharagpur,#FFFF00
22.321004414,87.311228695,Kharagpur,#FFFF00
22.321005347,87.311227122,Kharagpur,#FFFF00
22.321005867,87.311226108,Kharagpur,#FFFF00
22.321006296,87.311225293,Kharagpur,#FFFF00
22.321007025,87.311224096,Kharagpur,#FFFF00
22.321007685,87.311222559,Kharagpur,#FFFF00
22.321008482,87.311221003,Kharagpur,#FFFF00
22.321009236,87.311219436,Kharagpur,#FFFF00
22.321010184,87.311217778,Kharagpur,#FFFF00
22.321010768,87.311216305,Kharagpur,#FFFF00
22.321011466,87.311214494,Kharagpur,#FFFF00
22.321011475,87.311212453,Kharagpur,#FFFF00
22.321011383,87.311210799,Kharagpur,#FFFF00
22.321011325,87.311209167,Kharagpur,#FFFF00
22.321011371,87.311207354,Kharagpur,#FFFF00
22.321011136,87.311205420,Kharagpur,#FFFF00
22.321010814,87.311203754,Kharagpur,#FFFF00
22.321010617,87.311202490,Kharagpur,#FFFF00
22.321010291,87.311201004,Kharagpur,#FFFF00
22.321009968,87.311199970,Kharagpur,#FFFF00
22.321010066,87.311197933,Kharagpur,#FFFF00
22.321010774,87.311196186,Kharagpur,#FFFF00
22.321011811,87.311194681,Kharagpur,#FFFF00
22.321012876,87.311193093,Kharagpur,#FFFF00
22.321013800,87.311191222,Kharagpur,#FFFF00
22.321014333,87.311190112,Kharagpur,#FFFF00
22.321015261,87.311188355,Kharagpur,#FFFF00
22.321015545,87.311186951,Kharagpur,#FFFF00
22.321016394,87.311185127,Kharagpur,#FFFF00
22.321017126,87.311183880,Kharagpur,#FFFF00
22.321017989,87.311181805,Kharagpur,#FFFF00
22.321018422,87.311180167,Kharagpur,#FFFF00
22.321018521,87.311178637,Kharagpur,#FFFF00
22.321017867,87.311176752,Kharagpur,#FFFF00
